,L,a,b
m1,50.00,73.33,40.00
m2,49.33,71.33,55.33
m3,41.67,61.67,48.33
m4,36.33,57.33,45.00
m5,43.00,65.00,31.00
m6,33.33,53.67,39.00
m7,33.00,53.00,32.00
m8,19.00,40.00,28.33
m9,6.67,25.67,10.33
m10,2.33,10.00,3.00
m11,79.00,15.00,-1.67
m12,80.67,18.67,-3.00
m13,71.33,30.33,-2.33
m14,75.33,28.00,-1.33
m15,72.00,29.67,2.33
m16,69.33,41.33,-4.33
m17,64.67,44.00,-4.67
m18,56.33,57.67,0.00
m19,48.00,64.67,2.67
m20,48.33,68.33,8.33
m21,77.33,15.33,10.33
m22,68.33,13.00,8.00
m23,73.33,21.33,17.00
m24,69.33,25.67,17.33
m25,61.33,30.33,18.00
m26,63.33,38.33,29.33
m27,58.67,47.67,43.33
m28,49.67,40.33,45.00
m29,56.67,68.00,68.67
m30,50.00,65.00,58.00
m31,89.00,4.00,5.00
m32,84.33,4.67,14.00
m33,82.00,5.00,40.33
m34,80.00,6.00,52.67
m35,77.67,6.33,68.33
m36,75.00,9.67,73.33
m37,76.33,10.67,64.67
m38,72.00,12.00,57.00
m39,69.33,25.67,55.33
m40,65.67,30.00,65.67
m41,74.00,-2.00,7.00
m42,54.33,-5.33,11.00
m43,51.33,-1.67,23.33
m44,42.33,-9.00,29.00
m45,69.33,-13.00,49.33
m46,57.67,-22.00,56.67
m47,44.67,-41.67,28.67
m48,16.33,-20.67,9.67
m49,8.33,-9.33,-4.67
m50,2.33,-1.00,-0.67
m51,83.33,-2.00,-11.67
m52,73.67,-5.67,-17.00
m53,68.67,1.67,-32.00
m54,63.33,-7.33,-33.00
m55,50.33,5.00,-57.00
m56,31.33,17.00,-60.00
m57,12.00,12.00,-36.67
m58,9.67,29.00,-51.67
m59,4.00,12.33,-32.67
m60,3.33,2.33,-16.33
m61,86.00,9.00,-5.33
m62,79.00,9.00,-8.67
m63,76.33,15.00,-16.00
m64,70.00,23.33,-14.67
m65,70.00,20.67,-22.33
m66,70.00,17.33,-24.67
m67,57.00,16.67,-17.33
m68,8.00,32.00,-38.33
m69,9.00,22.67,-22.00
m70,4.00,14.33,-14.00
m71,84.67,7.33,3.67
m72,65.00,27.00,6.67
m73,75.67,20.00,6.00
m74,66.67,33.00,5.67
m75,67.67,24.67,3.67
m76,62.33,43.67,11.33
m77,64.67,37.33,3.67
m78,54.00,35.33,1.67
m79,48.67,38.67,8.67
m80,45.33,35.67,9.67
m81,89.00,1.67,2.00
m82,71.00,6.33,4.33
m83,64.33,7.00,12.00
m84,62.67,10.67,2.33
m85,58.67,13.33,5.67
m86,28.00,10.00,9.00
m87,19.67,14.67,12.33
m88,7.00,23.00,10.33
m89,6.00,9.67,5.67
m90,7.33,3.00,2.00
m91,89.33,0.67,-0.33
m92,83.33,4.00,1.33
m93,69.00,1.33,-0.33
m94,46.00,1.00,-1.67
m95,33.00,1.00,-3.00
m96,42.00,-1.67,-17.67
m97,48.00,-3.00,-20.00
m98,38.67,-2.67,-22.33
m99,14.00,0.67,-7.67
m100,1.67,4.00,-14.33
