,L*,a*,b*,
ltg1,71.60,6.99,8.30,
ltg2,71.60,6.58,11.27,
ltg3,76.48,3.32,16.93,
ltg4,76.48,-2.10,20.59,
ltg5,76.48,-6.67,20.12,
ltg6,71.60,-11.68,11.06,
ltg7,71.60,-10.85,4.16,
ltg8,71.60,-6.09,-0.44,
ltg9,66.67,-1.14,-1.67,
ltg10,66.67,2.47,-1.54,
ltg11,66.67,5.76,0.67,
ltg12,71.60,6.64,5.12,
g1,41.22,9.40,8.90,
g2,41.22,8.64,11.99,
g3,46.42,4.60,16.84,
g4,46.42,-1.13,19.60,
g5,46.42,-6.16,17.63,
g6,41.22,-9.87,9.64,
g7,41.22,-9.43,3.29,
g8,41.22,-6.07,-1.51,
g9,35.99,-0.66,-4.26,
g10,35.99,4.48,-4.60,
g11,35.99,8.81,-1.98,
g12,41.22,9.64,4.52,
d1,46.42,28.60,17.37,
d2,56.67,24.16,28.86,
d3,56.67,13.05,43.43,
d4,61.70,-2.18,48.74,
d5,56.67,-15.29,42.19,
d6,51.57,-25.80,17.23,
d7,46.42,-24.09,0.42,
d8,41.22,-13.71,-12.09,
d9,35.99,-0.82,-19.02,
d10,35.99,11.96,-18.43,
d11,35.99,21.41,-11.42,
d12,41.22,27.35,3.20,
dp1,35.99,52.10,25.01,
dp2,41.22,41.58,46.90,
dp3,51.57,19.39,70.69,
dp4,61.70,-1.31,79.32,
dp5,51.57,-23.23,80.75,
dp6,41.22,-45.32,23.74,
dp7,35.99,-37.96,-3.81,
dp8,30.77,-19.68,-24.33,
dp9,25.61,2.90,-36.68,
dp10,25.61,24.91,-33.51,
dp11,25.61,37.08,-22.22,
dp12,30.77,46.54,-1.71,
dk1,25.61,28.11,12.91,
dk2,30.77,25.40,25.75,
dk3,35.99,13.12,39.93,
dk4,41.22,-0.34,43.67,
dk5,35.99,-13.24,36.94,
dk6,30.77,-22.13,14.41,
dk7,25.61,-19.52,-0.26,
dk8,25.61,-11.30,-11.44,
dk9,20.54,0.49,-17.06,
dk10,20.54,12.08,-16.03,
dk11,20.54,19.01,-9.64,
dk12,25.61,25.85,0.45,
