No,L,a,b
1,50.03,64.06,34.58
2,49.00,62.71,47.25
3,69.63,50.75,41.60
4,63.90,43.71,38.12
5,70.52,52.54,27.34
6,61.00,39.54,32.35
7,61.00,38.32,26.42
8,47.14,26.55,26.81
9,43.51,9.37,1.78
10,38.29,5.01,2.24
11,79.00,15.00,-1.67
12,80.67,18.67,-3.00
13,71.01,18.94,-1.10
14,75.33,28.00,-1.33
15,71.99,19.00,1.49
16,69.04,31.18,-2.76
17,64.99,33.96,-3.56
18,55.96,47.56,0.51
19,47.97,55.25,3.10
20,47.97,58.05,7.36
21,77.33,15.33,10.33
22,68.33,13.00,8.00
23,73.33,21.33,17.00
24,69.33,25.67,17.33
25,61.00,20.28,11.97
26,63.00,28.16,21.01
27,58.99,39.26,33.94
28,50.03,31.87,33.68
29,56.97,60.79,58.10
30,50.03,56.76,48.44
31,89.03,5.90,7.53
32,83.97,6.36,17.84
33,82.00,5.00,40.33
34,79.99,3.58,36.95
35,78.04,4.03,51.88
36,75.02,7.65,56.75
37,76.00,8.48,51.31
38,71.99,-11.12,48.48
39,69.04,-2.80,57.36
40,65.98,-1.91,70.48
41,74.04,-3.37,12.06
42,54.03,-6.80,15.42
43,51.33,-1.67,23.33
44,42.33,-9.00,29.00
45,69.33,-13.00,49.33
46,57.98,-0.83,39.95
47,72.38,-1.99,29.51
48,43.93,4.56,30.57
49,43.93,-1.12,16.08
50,38.29,-3.46,11.25
51,83.33,-2.00,-11.67
52,74.04,-0.68,-5.40
53,69.04,-51.39,-26.77
54,63.00,-5.68,-22.93
55,50.03,3.19,-46.92
56,59.09,5.35,-46.95
57,39.76,3.00,-25.07
58,43.51,-0.92,-2.52
59,38.29,-0.91,-2.69
60,38.29,-0.91,-2.69
61,86.00,9.00,-5.33
62,79.00,9.00,-8.67
63,76.33,15.00,-16.00
64,70.00,23.33,-14.67
65,70.03,13.34,-14.40
66,70.03,10.53,-16.14
67,57.00,16.67,-17.33
68,43.51,1.36,-2.71
69,43.51,1.36,-2.71
70,38.29,1.50,-2.91
71,84.67,7.33,3.67
72,65.00,27.00,6.67
73,75.67,20.00,6.00
74,66.97,22.81,4.27
75,67.67,24.67,3.67
76,62.00,33.22,8.57
77,64.99,27.11,3.16
78,54.03,24.34,1.68
79,49.00,28.45,6.75
80,72.38,22.08,7.66
81,89.03,3.75,3.90
82,71.00,6.33,4.33
83,64.33,7.00,12.00
84,62.67,10.67,2.33
85,58.67,13.33,5.67
86,56.16,8.08,9.32
87,48.18,13.24,14.70
88,43.51,2.86,2.23
89,43.51,2.86,2.23
90,38.29,3.06,2.28
91,89.03,2.70,0.07
92,83.33,4.00,1.33
93,69.04,3.25,0.04
94,73.36,1.49,-3.39
95,61.00,1.26,-4.43
96,69.64,-3.46,-15.68
97,48.00,-3.00,-20.00
98,66.77,-4.58,-19.50
99,41.84,0.56,-6.95
100,38.29,-0.91,-2.69
