,L*,a*,b*,
p1,81.35,12.64,6.30,
p2,81.35,11.86,12.08,
p3,86.21,5.56,21.56,
p4,91.08,-3.54,23.89,
p5,86.21,-9.75,22.91,
p6,81.35,-17.44,9.25,
p7,81.35,-16.89,0.83,
p8,81.35,-11.52,-7.09,
p9,76.48,-1.85,-10.29,
p10,76.48,3.50,-9.87,
p11,76.48,8.25,-6.22,
p12,62.17,59.10,69.54,
lt1,71.60,31.89,15.36,
lt2,76.48,28.56,30.44,
lt3,81.35,13.71,47.92,
lt4,86.21,-5.01,54.86,
lt5,81.35,-18.95,48.47,
lt6,76.48,-32.31,16.69,
lt7,71.60,-29.23,-3.17,
lt8,66.67,-18.17,-18.53,
lt9,61.70,-2.82,-27.05,
lt10,61.70,11.17,-26.04,
lt11,61.70,22.98,-17.46,
lt12,66.67,30.49,-0.30,
b1,61.70,48.88,22.80,
b2,67.67,40.86,44.72,
b3,76.48,19.32,68.93,
b4,86.21,-4.96,79.04,
b5,76.48,-24.62,69.94,
b6,66.67,-46.87,22.77,
b7,61.70,-41.51,-6.29,
b8,56.67,-23.52,-28.01,
b9,51.57,-1.94,-40.04,
b10,51.57,18.96,-37.87,
b11,51.57,34.45,-25.71,
b12,56.67,43.98,-1.69,
v1,46.42,59.87,25.62,
v2,56.67,49.80,57.15,
v3,71.60,21.86,81.86,
v4,81.35,-3.86,92.67,
v5,71.60,-26.78,83.85,
v6,56.67,-57.67,25.58,
v7,46.42,-49.40,-10.01,
v8,41.22,-25.81,-35.18,
v9,35.99,1.48,-48.18,
v10,35.99,27.42,-45.21,
v11,35.99,43.33,-31.73,
v12,41.22,54.12,-5.17,
ltg1,71.60,6.99,3.30,
ltg2,71.60,6.58,6.27,
ltg3,76.48,3.32,11.93,
ltg4,76.48,-2.10,15.59,
ltg5,76.48,-6.67,15.12,
ltg6,71.60,-11.68,6.06,
ltg7,71.60,-10.85,-0.84,
ltg8,71.60,-6.09,-5.44,
ltg9,66.67,-1.14,-6.67,
ltg10,66.67,2.47,-6.54,
ltg11,66.67,5.76,-4.33,
ltg12,71.60,6.64,0.12,
sf1,61.70,26.30,12.30,
sf2,66.67,23.22,23.63,
sf3,71.60,11.64,38.11,
sf4,76.48,-3.83,43.68,
sf5,72.60,-15.41,37.36,
sf6,66.67,-26.80,13.45,
sf7,61.70,-25.05,-3.44,
sf8,56.67,-14.63,-15.79,
sf9,51.57,-1.98,-21.81,
sf10,51.57,9.54,-21.35,
sf11,51.57,18.78,-14.39,
sf12,56.67,25.35,-0.57,
g1,41.22,9.40,3.90,
g2,41.22,8.64,6.99,
g3,46.42,4.60,11.84,
g4,46.42,-1.13,14.60,
g5,46.42,-6.16,12.63,
g6,41.22,-9.87,4.64,
g7,41.22,-9.43,-1.71,
g8,41.22,-6.07,-6.51,
g9,35.99,-0.66,-9.26,
g10,35.99,4.48,-9.60,
g11,35.99,8.81,-6.98,
g12,41.22,9.64,-0.48,
d1,46.42,28.60,12.37,
d2,56.67,24.16,23.86,
d3,56.67,13.05,38.43,
d4,61.70,-2.18,43.74,
d5,56.67,-15.29,37.19,
d6,51.57,-25.80,12.23,
d7,46.42,-24.09,-4.58,
d8,41.22,-13.71,-17.09,
d9,35.99,-0.82,-24.02,
d10,35.99,11.96,-23.43,
d11,35.99,21.41,-16.42,
d12,41.22,27.35,-1.80,
dp1,35.99,52.10,20.01,
dp2,41.22,41.58,41.90,
dp3,51.57,19.39,65.69,
dp4,61.70,-1.31,74.32,
dp5,51.57,-23.23,75.75,
dp6,41.22,-45.32,18.74,
dp7,35.99,-37.96,-8.81,
dp8,30.77,-19.68,-29.33,
dp9,25.61,2.90,-41.68,
dp10,25.61,24.91,-38.51,
dp11,25.61,37.08,-27.22,
dp12,30.77,46.54,-6.71,
dk1,25.61,28.11,7.91,
dk2,30.77,25.40,20.75,
dk3,35.99,13.12,34.93,
dk4,41.22,-0.34,38.67,
dk5,35.99,-13.24,31.94,
dk6,30.77,-22.13,9.41,
dk7,25.61,-19.52,-5.26,
dk8,25.61,-11.30,-16.44,
dk9,20.54,0.49,-22.06,
dk10,20.54,12.08,-21.03,
dk11,20.54,19.01,-14.64,
dk12,25.61,25.85,-4.55,
dkg1,20.54,7.89,1.69,
dkg2,20.54,7.09,4.20,
dkg3,25.61,3.95,8.09,
dkg4,25.61,-0.24,9.46,
dkg5,25.61,-3.96,7.64,
dkg6,20.54,-5.64,2.42,
dkg7,20.54,-5.47,-1.53,
dkg8,20.54,-3.63,-4.89,
dkg9,15.60,-0.02,-7.39,
dkg10,15.60,3.99,-7.66,
dkg11,15.60,7.21,-5.90,
dkg12,20.54,7.99,-1.58,
