,L*,a*,b*,
p1,81.35,12.64,11.30,
p2,81.35,11.86,17.08,
p3,86.21,5.56,26.56,
p4,91.08,-3.54,28.89,
p5,86.21,-9.75,27.91,
p6,81.35,-17.44,14.25,
p7,81.35,-16.89,5.83,
p8,81.35,-11.52,-2.09,
p9,76.48,-1.85,-5.29,
p10,76.48,3.50,-4.87,
p11,76.48,8.25,-1.22,
p12,62.17,59.10,74.54,
lt1,71.60,31.89,20.36,
lt2,76.48,28.56,35.44,
lt3,81.35,13.71,52.92,
lt4,86.21,-5.01,59.86,
lt5,81.35,-18.95,53.47,
lt6,76.48,-32.31,21.69,
lt7,71.60,-29.23,1.83,
lt8,66.67,-18.17,-13.53,
lt9,61.70,-2.82,-22.05,
lt10,61.70,11.17,-21.04,
lt11,61.70,22.98,-12.46,
lt12,66.67,30.49,4.70,
b1,61.70,48.88,27.80,
b2,67.67,40.86,49.72,
b3,76.48,19.32,73.93,
b4,86.21,-4.96,84.04,
b5,76.48,-24.62,74.94,
b6,66.67,-46.87,27.77,
b7,61.70,-41.51,-1.29,
b8,56.67,-23.52,-23.01,
b9,51.57,-1.94,-35.04,
b10,51.57,18.96,-32.87,
b11,51.57,34.45,-20.71,
b12,56.67,43.98,3.31,
v1,46.42,59.87,30.62,
v2,56.67,49.80,62.15,
v3,71.60,21.86,86.86,
v4,81.35,-3.86,97.67,
v5,71.60,-26.78,88.85,
v6,56.67,-57.67,30.58,
v7,46.42,-49.40,-5.01,
v8,41.22,-25.81,-30.18,
v9,35.99,1.48,-43.18,
v10,35.99,27.42,-40.21,
v11,35.99,43.33,-26.73,
v12,41.22,54.12,-0.17,
