,L*,a*,b*,
p1,81.35,12.64,1.30,
p2,81.35,11.86,7.08,
p3,86.21,5.56,16.56,
p4,91.08,-3.54,18.89,
p5,86.21,-9.75,17.91,
p6,81.35,-17.44,4.25,
p7,81.35,-16.89,-4.17,
p8,81.35,-11.52,-12.09,
p9,76.48,-1.85,-15.29,
p10,76.48,3.50,-14.87,
p11,76.48,8.25,-11.22,
p12,62.17,59.10,64.54,
v1,46.42,59.87,20.62,
v2,56.67,49.80,52.15,
v3,71.60,21.86,76.86,
v4,81.35,-3.86,87.67,
v5,71.60,-26.78,78.85,
v6,56.67,-57.67,20.58,
v7,46.42,-49.40,-15.01,
v8,41.22,-25.81,-40.18,
v9,35.99,1.48,-53.18,
v10,35.99,27.42,-50.21,
v11,35.99,43.33,-36.73,
v12,41.22,54.12,-10.17,
dp1,35.99,52.10,15.01,
dp2,41.22,41.58,36.90,
dp3,51.57,19.39,60.69,
dp4,61.70,-1.31,69.32,
dp5,51.57,-23.23,70.75,
dp6,41.22,-45.32,13.74,
dp7,35.99,-37.96,-13.81,
dp8,30.77,-19.68,-34.33,
dp9,25.61,2.90,-46.68,
dp10,25.61,24.91,-43.51,
dp11,25.61,37.08,-32.22,
dp12,30.77,46.54,-11.71,
dk1,25.61,28.11,2.91,
dk2,30.77,25.40,15.75,
dk3,35.99,13.12,29.93,
dk4,41.22,-0.34,33.67,
dk5,35.99,-13.24,26.94,
dk6,30.77,-22.13,4.41,
dk7,25.61,-19.52,-10.26,
dk8,25.61,-11.30,-21.44,
dk9,20.54,0.49,-27.06,
dk10,20.54,12.08,-26.03,
dk11,20.54,19.01,-19.64,
dk12,25.61,25.85,-9.55,
dkg1,20.54,7.89,-3.31,
dkg2,20.54,7.09,-0.80,
dkg3,25.61,3.95,3.09,
dkg4,25.61,-0.24,4.46,
dkg5,25.61,-3.96,2.64,
dkg6,20.54,-5.64,-2.58,
dkg7,20.54,-5.47,-6.53,
dkg8,20.54,-3.63,-9.89,
dkg9,15.60,-0.02,-12.39,
dkg10,15.60,3.99,-12.66,
dkg11,15.60,7.21,-10.90,
dkg12,20.54,7.99,-6.58,
